shelter_id,address,lat,lon
84,서울특별시 성북구 아리랑로 75 (돈암코오롱하늘채101동),37.59927,127.01257
85,서울특별시 성북구 아리랑로 75 (돈암동),37.599154,127.013219
86,서울특별시 성북구 아리랑로5길 92 (돈암동 해피트리 아파트 104동),37.598288,127.011903
87,서울특별시 성북구 성북로4길 52 (한신한진아파트 한진북악경로당),37.596673,127.009054
88,서울특별시 성북구 성북로4길 52 (한신한진아파트 경로당),37.594756,127.01058
89,서울특별시 성북구 아리랑로 89 (일신건영휴먼빌아파트 상가동),37.601141,127.013023
90,서울특별시 성북구 북악산로 844 (브라운스톤 돈암 아파트),37.597751,127.018028
91,서울특별시 성북구 아리랑로 68 (돈암 힐스테이트아파트 105동),37.598833,127.015191
92,서울특별시 성북구 아리랑로5길 85 (돈암동더?騁팎컷? 102동),37.597695,127.010422
93,서울특별시 성북구 성북로4길 52 (한신한진아파트 212동(한진아파트)),37.594907,127.012952
94,서울특별시 성북구 흥천사길 7 (돈암동),37.5980523,127.0105121
95,서울특별시 성북구 아리랑로 82,37.599902,127.0139874
96,서울특별시 중랑구 봉화산로48길 62 (건영아파트 상가동),37.603879,127.093636
97,서울특별시 중랑구 상봉중앙로1길 78 (상봉동),37.5997704,127.0878413
98,서울특별시 중랑구 봉화산로 153 (신내12단지신내아파트),37.605047,127.091142
99,서울특별시 중랑구 상봉중앙로1길 6 (상봉1동주민센터),37.599864,127.0872
100,서울특별시 중랑구 봉화산로30길 69-3 (청운경로당),37.599064,127.085344
101,서울특별시 중랑구 봉화산로42길 20 (상봉1동경로당),37.602217,127.087541
102,서울특별시 중랑구 신내로7가길 71 (서촌경로당),37.602148,127.092113
103,서울특별시 중랑구 동일로114길 10 (상봉2동복합청사),37.592894,127.080828
104,서울특별시 중랑구 상봉로 131 (상봉 듀오트리스),37.597445,127.092209
105,서울특별시 중랑구 망우로 290 (상봉동),37.5958365,127.0847061
106,"서울특별시 중랑구 봉우재로41길 6 (상봉동, 청운명가프라임)",37.5936074,127.0897695
107,서울특별시 중랑구 동일로112길 27 (상봉2동경로당),37.593179,127.082368
108,서울특별시 중랑구 봉우재로33길 55-10 (봉황경로당),37.595246,127.088243
109,서울특별시 중랑구 봉화산로27길 32 (극동아파트 종합상가),37.603599,127.083841
110,서울특별시 중랑구 동일로 752 (중화한신아파트),37.597164,127.081309
111,서울특별시 중랑구 동일로134길 17 (중화1동주민센터),37.601148,127.080653
112,서울특별시 중랑구 동일로138길 28 (중화1동통합경로당),37.603286,127.08112
113,서울특별시 중랑구 중랑역로4길 29 (사회적경제지원센터),37.595752,127.078328
114,서울특별시 중랑구 봉화산로 27 (중화2동복합청사),37.602074,127.077465
115,서울특별시 중랑구 중랑천로14길 34 (중화동 동양엔파트 2차 관리동),37.594274,127.074646
116,서울특별시 중랑구 중랑천로 117 (중화동),37.5956995,127.0719417
117,서울특별시 중랑구 중랑천로 197 (중화동),37.6004684,127.0731576
118,서울특별시 중랑구 봉화산로3길 40-5 (봉화경로당),37.60351,127.076007
119,서울특별시 중랑구 동일로123길 69-5 (학구경로당),37.59832,127.076152
120,서울특별시 중랑구 중랑천로20길 6-14 (구립백학경로당),37.595646,127.072982
