"자치구별(1)",자치구별(2),2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025,2026,2026,2026,2027,2027,2027,2028,2028,2028,2029,2029,2029,2030,2030,2030,2031,2031,2031,2032,2032,2032,2033,2033,2033,2034,2034,2034,2035,2035,2035,2036,2036,2036,2037,2037,2037,2038,2038,2038,2039,2039,2039,2040,2040,2040,2041,2041,2041,2042,2042,2042
"자치구별(1)",자치구별(2),고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구,고령인구
"자치구별(1)",자치구별(2),소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",도봉구,64680,28824,35856,67842,30185,37657,71522,31753,39769,75277,33384,41893,79000,34996,44004,81543,36076,45467,84418,37427,46991,86409,38280,48129,88733,39270,49463,90908,40225,50683,92909,41098,51811,94966,41938,53028,97463,43030,54433,99582,43958,55624,101880,44981,56899,103826,45923,57903,105563,46649,58914,107067,47382,59685,108099,47847,60252,108745,48124,60621,109230,48388,60842
"합계",노원구,88175,37381,50794,92337,39254,53083,96699,41113,55586,101329,43111,58218,106171,45236,60935,109808,46900,62908,113909,48725,65184,116764,49984,66780,120102,51456,68646,123320,52904,70416,126281,54251,72030,129508,55601,73907,133347,57330,76017,136893,58852,78041,140598,60511,80087,143726,61822,81904,146544,63099,83445,149111,64171,84940,150929,64929,86000,152038,65362,86676,153182,65834,87348
"합계",은평구,86887,37479,49408,89804,38668,51136,94684,40771,53913,99355,42727,56628,104088,44687,59401,107569,46214,61355,111447,47873,63574,114402,49168,65234,117462,50475,66987,120517,51801,68716,123533,53151,70382,126540,54426,72114,130443,56183,74260,133906,57725,76181,137665,59420,78245,141060,60975,80085,144199,62419,81780,147050,63702,83348,149245,64642,84603,150928,65401,85527,152400,66066,86334
"합계",서대문구,53265,22632,30633,55747,23761,31986,57956,24721,33235,60017,25555,34462,62327,26535,35792,63949,27253,36696,65957,28184,37773,67548,28844,38704,69436,29658,39778,71160,30493,40667,72759,31202,41557,74525,31936,42589,76771,32968,43803,78813,33856,44957,80985,34880,46105,82929,35778,47151,84663,36526,48137,86284,37232,49052,87491,37787,49704,88441,38237,50204,89308,38585,50723
"합계",마포구,53254,22491,30763,55167,23228,31939,57192,24093,33099,59405,25041,34364,61689,26122,35567,63306,26847,36459,65347,27822,37525,66775,28462,38313,68631,29280,39351,70243,30050,40193,71796,30710,41086,73607,31475,42132,75838,32516,43322,77940,33476,44464,80251,34545,45706,82284,35476,46808,84180,36304,47876,85836,37054,48782,87140,37619,49521,88147,38072,50075,89133,38462,50671
"합계",양천구,69183,31251,37932,73277,32979,40298,77388,34781,42607,81818,36826,44992,86377,38899,47478,89782,40454,49328,93717,42278,51439,96718,43531,53187,100100,44993,55107,103104,46282,56822,105988,47539,58449,108863,48804,60059,112338,50300,62038,115330,51620,63710,118561,53057,65504,121359,54318,67041,123875,55447,68428,126143,56465,69678,127850,57204,70646,129135,57785,71350,130219,58261,71958
"합계",강서구,93349,41075,52274,98382,43249,55133,103650,45594,58056,108843,47796,61047,114364,50194,64170,118073,51852,66221,122351,53714,68637,125343,55023,70320,128972,56584,72388,131872,57805,74067,134714,59069,75645,137651,60349,77302,141418,62078,79340,144598,63539,81059,148054,65152,82902,151194,66655,84539,154200,68094,86106,156818,69276,87542,158799,70230,88569,160307,70900,89407,161624,71613,90011
"합계",구로구,77151,34966,42185,81980,37086,44894,86375,39001,47374,90756,40896,49860,94852,42770,52082,98053,44263,53790,102376,46323,56053,105486,47730,57756,108856,49337,59519,111771,50747,61024,114427,51991,62436,117210,53256,63954,120548,54750,65798,123598,56233,67365,126654,57690,68964,129451,59087,70364,132074,60395,71679,134279,61430,72849,135935,62304,73631,137199,62876,74323,138316,63475,74841
"합계",금천구,43622,19872,23750,46158,21045,25113,48927,22262,26665,51893,23676,28217,54567,24917,29650,56708,25962,30746,59465,27312,32153,61439,28264,33175,63480,29249,34231,65411,30210,35201,66899,30861,36038,68524,31620,36904,70404,32523,37881,72061,33336,38725,73761,34196,39565,75180,34934,40246,76569,35632,40937,77618,36169,41449,78372,36568,41804,78856,36783,42073,79277,37018,42259
"합계",영등포구,66266,29862,36404,69768,31454,38314,73143,32952,40191,76543,34459,42084,79689,35871,43818,82148,36980,45168,85623,38769,46854,88053,39927,48126,90555,41096,49459,92858,42244,50614,94831,43151,51680,96955,44159,52796,99692,45452,54240,102095,46597,55498,104630,47844,56786,106887,48974,57913,108969,50000,58969,110755,50866,59889,112052,51503,60549,113142,51979,61163,114049,52420,61629
"합계",동작구,66488,29182,37306,68787,30126,38661,71592,31243,40349,74605,32520,42085,77470,33695,43775,79468,34572,44896,81986,35731,46255,83788,36548,47240,85800,37444,48356,87544,38199,49345,89315,39010,50305,91148,39779,51369,93634,40981,52653,95713,41971,53742,97949,43061,54888,100034,44098,55936,101831,44936,56895,103567,45822,57745,104750,46390,58360,105725,46891,58834,106582,47334,59248
"합계",관악구,80838,35832,45006,84005,37104,46901,87499,38599,48900,91138,40136,51002,94566,41618,52948,97134,42835,54299,100233,44325,55908,102332,45317,57015,104990,46603,58387,107127,47707,59420,109090,48626,60464,111282,49657,61625,113948,50967,62981,116383,52283,64100,118987,53638,65349,121298,54944,66354,123352,56016,67336,125295,57081,68214,126646,57828,68818,127648,58408,69240,128526,58935,69591
"합계",서초구,59350,26909,32441,62231,28250,33981,65687,29711,35976,68939,31109,37830,72102,32474,39628,74544,33543,41001,77087,34751,42336,79062,35655,43407,81320,36738,44582,83256,37671,45585,85098,38567,46531,87338,39618,47720,89857,40857,49000,92397,42141,50256,95026,43425,51601,97221,44551,52670,99365,45591,53774,101330,46548,54782,102719,47280,55439,103975,47882,56093,105081,48470,56611
"합계",강남구,77576,35088,42488,82160,37020,45140,87679,39393,48286,93574,41991,51583,99278,44490,54788,103827,46612,57215,108528,48848,59680,112355,50551,61804,116199,52382,63817,119890,54153,65737,123250,55726,67524,126909,57500,69409,131219,59540,71679,135338,61577,73761,139482,63609,75873,143241,65450,77791,146716,67111,79605,149933,68755,81178,152572,70009,82563,154775,71156,83619,156901,72223,84678
"합계",송파구,98555,45555,53000,103962,47921,56041,109383,50309,59074,114865,52645,62220,120706,55070,65636,124980,56933,68047,130154,59306,70848,134129,61035,73094,138481,62958,75523,142449,64761,77688,146032,66320,79712,150095,68077,82018,154758,70198,84560,158881,72151,86730,163436,74240,89196,167343,76062,91281,170911,77701,93210,174272,79327,94945,176789,80555,96234,178763,81500,97263,180684,82425,98259
"합계",강동구,75901,34582,41319,80345,36637,43708,85323,38800,46523,90804,41147,49657,96453,43622,52831,100792,45534,55258,105914,47871,58043,110110,49738,60372,114636,51730,62906,118837,53698,65139,122886,55468,67418,127120,57357,69763,131875,59526,72349,136177,61462,74715,140807,63652,77155,144989,65605,79384,149034,67486,81548,152716,69181,83535,155758,70658,85100,158296,71895,86401,160691,73019,87672
