진료개시년도,지역,환자수
2021,부천시,247
2021,광명시,33
2021,평택시,127
2021,동두천시,12
2021,안산시,*
2021,안산시 상록구,139
2021,안산시 단원구,77
2021,고양시 덕양구,91
2021,고양시 일산동구,36
2021,고양시 일산서구,19
2021,과천시,17
2021,구리시,42
2021,남양주시,62
2021,오산시,33
2021,시흥시,130
2021,군포시,18
2021,의왕시,22
2021,하남시,22
2021,용인시 처인구,35
2021,용인시 기흥구,32
2021,용인시 수지구,111
2021,파주시,90
2021,이천시,88
2021,안성시,17
2021,김포시,44
2021,화성시,154
2021,광주시,82
2021,양주시,20
2021,포천시,30
2021,여주시,24
2021,연천군,18
2021,가평군,6
2021,양평군,11
2021,춘천시,30
2021,원주시,50
2021,강릉시,14
2021,동해시,8
2021,태백시,*
2021,속초시,13
2021,삼척시,14
2021,홍천군,9
2021,횡성군,22
2021,영월군,6
2021,평창군,8
2021,정선군,6
2021,철원군,13
2021,화천군,*
2021,양구군,9
2021,인제군,7
2021,고성군,*
2021,양양군,*
2021,청주시 상당구,289
2021,청주시 서원구,62
2021,청주시 흥덕구,28
2021,청주시 청원구,30
2021,충주시,84
2021,제천시,19
2021,보은군,*
2021,옥천군,37
2021,영동군,54
2021,증평군,16
2021,진천군,112
2021,괴산군,20
2021,음성군,36
2021,단양군,*
2021,천안시 동남구,66
2021,천안시 서북구,53
2021,공주시,17
2021,보령시,24
2021,아산시,45
2021,서산시,21
2021,논산시,21
2021,계룡시,15
2021,당진시,135
2021,금산군,*
2021,부여군,19
2021,서천군,42
2021,청양군,11
2021,홍성군,13
2021,예산군,13
2021,태안군,200
2021,당진군,*
2021,전주시 완산구,69
2021,전주시 덕진구,67
2021,군산시,176
2021,익산시,48
2021,정읍시,35
2021,남원시,19
2021,김제시,107
2021,완주군,24
2021,진안군,10
2021,무주군,12
2021,장수군,8
2021,임실군,28
2021,순창군,15
2021,고창군,11
2021,부안군,9
2021,목포시,62
2021,여수시,51
2021,순천시,65
2021,나주시,13
2021,광양시,127
2021,담양군,68
2021,곡성군,8
2021,구례군,24
2021,고흥군,34
2021,보성군,44
2021,화순군,26
2021,장흥군,20
2021,강진군,*
2021,해남군,56
2021,영암군,19
2021,무안군,28
2021,함평군,16
2021,영광군,6
2021,장성군,9
2021,완도군,19
2021,진도군,8
2021,신안군,33
2021,포항시 남구,42
2021,포항시 북구,45
2021,경주시,44
2021,김천시,13
2021,안동시,15
2021,구미시,54
2021,영주시,16
2021,영천시,202
2021,상주시,76
2021,문경시,24
2021,경산시,37
2021,군위군,6
2021,의성군,109
2021,청송군,8
2021,영양군,10
2021,영덕군,20
2021,청도군,13
2021,고령군,10
2021,성주군,6
2021,칠곡군,25
2021,예천군,11
2021,울진군,109
2021,울릉군,*
2021,창원시 의창구,29
2021,창원시 성산구,24
2021,창원시 마산합포구,23
2021,창원시 마산회원구,19
2021,창원시 진해구,31
2021,진주시,60
2021,통영시,55
2021,사천시,29
2021,김해시,302
2021,밀양시,13
2021,거제시,63
2021,양산시,240
2021,의령군,*
2021,함안군,16
2021,창녕군,104
2021,고성군,39
2021,남해군,9
2021,하동군,16
2021,산청군,*
2021,함양군,13
2021,거창군,6
2021,합천군,37
2021,제주시,151
2021,서귀포시,537
2022,종로구,21
2022,중구,14
2022,용산구,42
2022,성동구,22
2022,광진구,43
2022,동대문구,33
2022,중랑구,48
2022,성북구,28
2022,강북구,26
2022,도봉구,18
2022,노원구,39
2022,은평구,208
2022,서대문구,195
2022,마포구,76
2022,양천구,48
2022,강서구,101
2022,구로구,61
2022,금천구,20
2022,영등포구,33
2022,동작구,127
2022,관악구,84
2022,서초구,473
2022,강남구,137
2022,송파구,100
2022,강동구,202
2022,중구,5
2022,서구,21
2022,동구,20
2022,영도구,225
2022,부산진구,61
2022,동래구,21
2022,남구,41
2022,북구,41
2022,해운대구,49
2022,사하구,58
2022,금정구,23
2022,강서구,40
